商品编号,商品类别,商品名称,仓库,库存数量,安全库存,月销量,采购价,供应商,更新时间
SKU-0001,厨房用品,不粘锅,华东仓,462,96,15,140.95,供应商02,2025-07-17
SKU-0002,数码配件,无线鼠标,华北仓,88,100,111,63.62,供应商04,2025-07-31
SKU-0003,数码配件,无线鼠标,华北仓,129,73,260,70.63,供应商03,2025-07-17
SKU-0004,数码配件,蓝牙耳机,华南仓,432,55,169,170.99,供应商11,2025-07-10
SKU-0005,数码配件,蓝牙耳机,华北仓,336,52,36,161.91,供应商01,2025-07-30
SKU-0006,家居日用,收纳箱,华北仓,180,44,137,39.78,供应商03,2025-07-28
SKU-0007,数码配件,蓝牙耳机,华南仓,141,41,155,149.43,供应商04,2025-07-12
SKU-0008,家居日用,收纳箱,华北仓,270,38,117,44.02,供应商08,2025-07-30
SKU-0009,食品饮料,低糖燕麦,华东仓,247,120,176,31.65,供应商04,2025-07-27
SKU-0010,家居日用,护眼台灯,华东仓,285,75,34,70.97,供应商02,2025-07-27
SKU-0011,厨房用品,不粘锅,西南仓,463,65,29,138.63,供应商09,2025-07-30
SKU-0012,家居日用,护眼台灯,华北仓,347,68,211,98.94,供应商06,2025-07-24
SKU-0013,数码配件,无线鼠标,华南仓,417,51,85,79.29,供应商09,2025-07-02
SKU-0014,家居日用,护眼台灯,华东仓,393,113,162,76.07,供应商06,2025-07-08
SKU-0015,食品饮料,低糖燕麦,华东仓,215,96,43,27.05,供应商10,2025-07-30
SKU-0016,食品饮料,低糖燕麦,华南仓,391,49,255,28.69,供应商02,2025-07-31
SKU-0017,家居日用,护眼台灯,华北仓,120,114,153,99.93,供应商06,2025-07-13
SKU-0018,数码配件,蓝牙耳机,华北仓,106,46,215,152.21,供应商12,2025-07-19
SKU-0019,家居日用,收纳箱,华南仓,419,69,75,36.33,供应商03,2025-07-04
SKU-0020,数码配件,无线鼠标,华北仓,393,118,220,67.13,供应商03,2025-07-04
SKU-0021,数码配件,无线鼠标,华南仓,160,40,38,81.43,供应商09,2025-07-11
SKU-0022,厨房用品,保温杯,华南仓,415,34,179,58.25,供应商06,2025-07-23
SKU-0023,厨房用品,不粘锅,华东仓,394,39,19,164.03,供应商10,2025-07-04
SKU-0024,数码配件,无线鼠标,华南仓,362,35,184,68.45,供应商09,2025-07-02
SKU-0025,数码配件,无线鼠标,西南仓,12,68,40,71.27,供应商08,2025-07-16
SKU-0026,数码配件,蓝牙耳机,西南仓,454,84,253,114.72,供应商11,2025-07-01
SKU-0027,厨房用品,保温杯,西南仓,363,86,146,59.64,供应商10,2025-07-08
SKU-0028,数码配件,无线鼠标,华北仓,304,109,227,84.44,供应商11,2025-07-08
SKU-0029,家居日用,收纳箱,华北仓,373,118,63,40.09,供应商11,2025-07-02
SKU-0030,家居日用,护眼台灯,华北仓,163,73,203,86.99,供应商11,2025-07-16
SKU-0031,家居日用,收纳箱,华东仓,245,35,186,37.06,供应商09,2025-07-15
SKU-0032,数码配件,蓝牙耳机,华北仓,332,50,16,112.6,供应商02,2025-07-20
SKU-0033,家居日用,护眼台灯,西南仓,12,48,58,93.01,供应商11,2025-07-19
SKU-0034,厨房用品,保温杯,西南仓,341,46,122,54.58,供应商06,2025-07-29
SKU-0035,厨房用品,不粘锅,华北仓,268,50,80,177.41,供应商09,2025-07-08
SKU-0036,食品饮料,坚果礼盒,西南仓,282,64,113,66.21,供应商11,2025-07-22
SKU-0037,数码配件,蓝牙耳机,华南仓,245,54,185,144.98,供应商04,2025-07-10
SKU-0038,数码配件,蓝牙耳机,西南仓,161,77,25,111.16,供应商03,2025-07-23
SKU-0039,数码配件,无线鼠标,华南仓,101,91,28,61.95,供应商11,2025-07-06
SKU-0040,食品饮料,坚果礼盒,西南仓,86,63,141,79.19,供应商11,2025-07-13
SKU-0041,数码配件,无线鼠标,华北仓,408,35,159,67.99,供应商08,2025-07-05
SKU-0042,食品饮料,低糖燕麦,华东仓,287,98,34,41.19,供应商09,2025-07-12
SKU-0043,食品饮料,坚果礼盒,华北仓,475,33,29,77.27,供应商12,2025-07-25
SKU-0044,数码配件,蓝牙耳机,华南仓,135,97,43,151.31,供应商09,2025-07-07
SKU-0045,数码配件,无线鼠标,华北仓,209,84,236,63.53,供应商06,2025-07-31
SKU-0046,食品饮料,低糖燕麦,华东仓,40,110,134,32.85,供应商01,2025-07-25
SKU-0047,厨房用品,不粘锅,华北仓,25,85,68,120.5,供应商12,2025-07-10
SKU-0048,厨房用品,不粘锅,华东仓,237,108,55,118.63,供应商05,2025-07-23
SKU-0049,食品饮料,低糖燕麦,华南仓,66,103,153,27.57,供应商12,2025-07-29
SKU-0050,家居日用,收纳箱,华东仓,380,54,133,36.26,供应商06,2025-07-01
SKU-0051,家居日用,护眼台灯,华东仓,252,49,186,84.91,供应商10,2025-07-01
SKU-0052,食品饮料,低糖燕麦,华南仓,327,32,239,34.29,供应商02,2025-07-31
SKU-0053,家居日用,护眼台灯,华东仓,192,32,86,75.49,供应商03,2025-07-23
SKU-0054,食品饮料,坚果礼盒,华南仓,318,70,91,72.06,供应商09,2025-07-15
SKU-0055,食品饮料,低糖燕麦,华东仓,393,62,179,29.63,供应商03,2025-07-25
SKU-0056,食品饮料,坚果礼盒,华北仓,191,97,200,63.22,供应商10,2025-07-10
SKU-0057,厨房用品,不粘锅,华北仓,324,32,34,139.35,供应商08,2025-07-23
SKU-0058,家居日用,收纳箱,华南仓,224,115,141,36.63,供应商04,2025-07-19
SKU-0059,厨房用品,不粘锅,华北仓,470,99,210,180.76,供应商06,2025-07-06
SKU-0060,厨房用品,不粘锅,西南仓,372,37,76,116.72,供应商06,2025-07-10
SKU-0061,数码配件,无线鼠标,西南仓,285,97,225,66.46,供应商08,2025-07-16
SKU-0062,家居日用,护眼台灯,华南仓,353,64,81,106.18,供应商08,2025-07-20
SKU-0063,家居日用,护眼台灯,华东仓,75,108,36,73.97,供应商09,2025-07-23
SKU-0064,数码配件,无线鼠标,西南仓,247,61,115,59.93,供应商05,2025-07-03
SKU-0065,厨房用品,保温杯,华南仓,210,79,241,53.66,供应商09,2025-07-27
SKU-0066,家居日用,护眼台灯,华东仓,82,67,70,72.26,供应商07,2025-07-24
SKU-0067,食品饮料,低糖燕麦,华南仓,240,60,76,39.92,供应商02,2025-07-05
SKU-0068,家居日用,护眼台灯,华东仓,389,63,168,92.84,供应商04,2025-07-16
SKU-0069,数码配件,无线鼠标,华东仓,253,93,23,82.11,供应商11,2025-07-28
SKU-0070,厨房用品,不粘锅,华南仓,193,100,48,167.78,供应商08,2025-07-15
