日期,门店,城市,商品类别,订单数,销售额,客单价,退款金额
2025-04-01,广州天河店,广州,家居用品,109,8337.41,76.49,1694.82
2025-04-02,成都高新店,成都,厨房用品,38,6962.36,183.22,955.12
2025-04-03,广州天河店,广州,数码配件,118,6425.1,54.45,638.74
2025-04-04,北京朝阳店,北京,家居用品,60,7182.0,119.7,1318.18
2025-04-05,成都高新店,成都,厨房用品,145,37282.4,257.12,950.79
2025-04-06,上海静安店,上海,厨房用品,37,6919.37,187.01,1115.55
2025-04-07,广州天河店,广州,家居用品,191,46456.93,243.23,450.19
2025-04-08,上海静安店,上海,食品饮料,104,26938.08,259.02,736.87
2025-04-09,武汉江汉店,武汉,数码配件,137,13379.42,97.66,117.7
2025-04-10,成都高新店,成都,家居用品,92,22705.6,246.8,1751.71
2025-04-11,广州天河店,广州,厨房用品,35,1724.8,49.28,1640.57
2025-04-12,上海静安店,上海,家居用品,133,8825.88,66.36,675.93
2025-04-13,北京朝阳店,北京,厨房用品,41,9222.95,224.95,1080.98
2025-04-14,北京朝阳店,北京,家居用品,164,38489.16,234.69,1573.31
2025-04-15,上海静安店,上海,数码配件,168,37280.88,221.91,1017.53
2025-04-16,广州天河店,广州,家居用品,141,22922.37,162.57,1579.33
2025-04-17,广州天河店,广州,家居用品,109,23891.71,219.19,572.25
2025-04-18,上海静安店,上海,食品饮料,44,3796.32,86.28,608.24
2025-04-19,上海静安店,上海,厨房用品,81,8385.93,103.53,953.95
2025-04-20,上海静安店,上海,数码配件,69,13626.12,197.48,232.45
2025-04-21,成都高新店,成都,食品饮料,131,13933.16,106.36,823.98
2025-04-22,武汉江汉店,武汉,数码配件,113,26968.58,238.66,122.05
2025-04-23,武汉江汉店,武汉,食品饮料,50,8865.5,177.31,582.71
2025-04-24,上海静安店,上海,数码配件,106,8580.7,80.95,356.58
2025-04-25,成都高新店,成都,厨房用品,159,40622.91,255.49,257.2
2025-04-26,北京朝阳店,北京,食品饮料,77,18575.48,241.24,20.66
2025-04-27,成都高新店,成都,数码配件,64,8847.36,138.24,912.46
2025-04-28,成都高新店,成都,家居用品,161,28125.09,174.69,172.04
2025-04-29,武汉江汉店,武汉,厨房用品,176,45128.16,256.41,903.49
2025-04-30,北京朝阳店,北京,数码配件,213,38501.88,180.76,1465.46
2025-05-01,成都高新店,成都,数码配件,190,31946.6,168.14,745.85
2025-05-02,武汉江汉店,武汉,食品饮料,140,23970.8,171.22,458.73
2025-05-03,北京朝阳店,北京,数码配件,207,23030.82,111.26,115.78
2025-05-04,广州天河店,广州,食品饮料,119,17381.14,146.06,1316.53
2025-05-05,北京朝阳店,北京,厨房用品,61,11016.6,180.6,1749.27
2025-05-06,北京朝阳店,北京,家居用品,62,5398.34,87.07,1128.12
2025-05-07,广州天河店,广州,数码配件,160,28270.4,176.69,26.78
2025-05-08,上海静安店,上海,数码配件,203,30695.63,151.21,1394.17
2025-05-09,上海静安店,上海,厨房用品,191,10590.95,55.45,1131.12
2025-05-10,成都高新店,成都,数码配件,111,8410.47,75.77,1543.72
2025-05-11,广州天河店,广州,家居用品,196,26940.2,137.45,1043.94
2025-05-12,北京朝阳店,北京,数码配件,108,22980.24,212.78,659.27
2025-05-13,广州天河店,广州,数码配件,170,18963.5,111.55,397.79
2025-05-14,成都高新店,成都,厨房用品,173,35849.06,207.22,990.34
2025-05-15,武汉江汉店,武汉,家居用品,52,8193.64,157.57,1625.0
2025-05-16,北京朝阳店,北京,数码配件,63,6002.64,95.28,1637.0
2025-05-17,北京朝阳店,北京,食品饮料,183,19394.34,105.98,714.88
2025-05-18,广州天河店,广州,家居用品,205,46014.3,224.46,1038.83
2025-05-19,成都高新店,成都,家居用品,57,14128.59,247.87,84.47
2025-05-20,北京朝阳店,北京,家居用品,86,12142.34,141.19,883.15
2025-05-21,北京朝阳店,北京,家居用品,166,23010.92,138.62,495.09
2025-05-22,北京朝阳店,北京,家居用品,43,9444.09,219.63,62.16
2025-05-23,上海静安店,上海,数码配件,145,17263.7,119.06,211.29
2025-05-24,武汉江汉店,武汉,家居用品,48,4252.8,88.6,1168.26
2025-05-25,北京朝阳店,北京,家居用品,98,9383.5,95.75,1546.9
2025-05-26,上海静安店,上海,家居用品,141,21712.59,153.99,615.95
2025-05-27,上海静安店,上海,食品饮料,120,25447.2,212.06,1555.48
2025-05-28,上海静安店,上海,食品饮料,178,37178.86,208.87,1530.01
2025-05-29,北京朝阳店,北京,食品饮料,219,56116.56,256.24,1544.68
2025-05-30,北京朝阳店,北京,数码配件,177,13554.66,76.58,1168.87
2025-05-31,广州天河店,广州,厨房用品,142,18867.54,132.87,1259.8
2025-06-01,武汉江汉店,武汉,家居用品,82,4585.44,55.92,1054.54
2025-06-02,上海静安店,上海,家居用品,215,46018.6,214.04,524.71
2025-06-03,广州天河店,广州,厨房用品,83,19452.71,234.37,1723.4
2025-06-04,上海静安店,上海,厨房用品,53,3738.62,70.54,1646.89
2025-06-05,武汉江汉店,武汉,数码配件,104,14861.6,142.9,770.94
2025-06-06,武汉江汉店,武汉,家居用品,67,3957.02,59.06,1755.42
2025-06-07,广州天河店,广州,食品饮料,85,14467.85,170.21,512.85
2025-06-08,成都高新店,成都,数码配件,126,20926.08,166.08,904.03
2025-06-09,上海静安店,上海,厨房用品,117,25552.8,218.4,499.46
2025-06-10,上海静安店,上海,数码配件,171,19304.19,112.89,1552.53
2025-06-11,武汉江汉店,武汉,厨房用品,205,37035.3,180.66,1203.23
2025-06-12,上海静安店,上海,家居用品,101,22821.96,225.96,1529.62
2025-06-13,成都高新店,成都,数码配件,115,25687.55,223.37,1120.66
2025-06-14,武汉江汉店,武汉,家居用品,185,44429.6,240.16,650.51
2025-06-15,武汉江汉店,武汉,食品饮料,201,19143.24,95.24,913.22
2025-06-16,上海静安店,上海,食品饮料,109,14064.27,129.03,350.81
2025-06-17,上海静安店,上海,数码配件,203,49594.93,244.31,627.02
2025-06-18,上海静安店,上海,食品饮料,104,18052.32,173.58,430.38
2025-06-19,成都高新店,成都,数码配件,199,41909.4,210.6,538.48
2025-06-20,广州天河店,广州,食品饮料,71,6801.8,95.8,1458.08
2025-06-21,上海静安店,上海,数码配件,63,7280.28,115.56,976.26
2025-06-22,上海静安店,上海,家居用品,206,28362.08,137.68,1125.36
2025-06-23,成都高新店,成都,家居用品,49,11398.87,232.63,441.44
2025-06-24,北京朝阳店,北京,食品饮料,161,41571.81,258.21,930.18
2025-06-25,广州天河店,广州,数码配件,35,3116.05,89.03,239.43
2025-06-26,成都高新店,成都,食品饮料,136,30734.64,225.99,1153.26
2025-06-27,成都高新店,成都,家居用品,199,32586.25,163.75,599.56
2025-06-28,北京朝阳店,北京,厨房用品,185,27833.25,150.45,560.48
2025-06-29,广州天河店,广州,厨房用品,160,30569.6,191.06,587.78
