日期,投放渠道,活动名称,曝光量,点击量,转化量,广告费用,成交金额
2025-05-01,信息流,暑期促销,82708,2509,477,13847.59,121181.96
2025-05-02,搜索广告,年中大促,81710,6325,608,14735.68,118751.43
2025-05-03,搜索广告,春季上新,242552,12445,665,10865.55,264224.78
2025-05-04,直播投放,会员日,86555,1354,81,2592.43,32219.44
2025-05-05,短视频,会员日,152260,7973,1376,5867.39,697684.36
2025-05-06,短视频,新品首发,81423,6249,282,11081.93,72113.83
2025-05-07,信息流,会员日,135725,4567,380,11009.86,64180.94
2025-05-08,短视频,会员日,175233,3522,511,3876.9,214596.11
2025-05-09,搜索广告,新品首发,31378,777,125,4532.81,16828.7
2025-05-10,短视频,春季上新,66209,2607,272,17969.31,44894.76
2025-05-11,短视频,暑期促销,69184,3157,99,14449.56,23019.03
2025-05-12,短视频,暑期促销,215238,14870,1213,11650.44,455347.33
2025-05-13,短视频,年中大促,213143,17091,1108,1993.81,328534.74
2025-05-14,直播投放,春季上新,228277,7026,338,4732.21,45186.15
2025-05-15,短视频,新品首发,204598,6845,952,8363.08,175514.74
2025-05-16,短视频,年中大促,127699,4820,246,11663.96,118299.99
2025-05-17,直播投放,新品首发,98822,1785,111,3608.94,31347.01
2025-05-18,信息流,暑期促销,176987,7573,1255,5784.19,356838.12
2025-05-19,联盟推广,暑期促销,239817,16354,2550,5666.28,1077499.37
2025-05-20,信息流,会员日,232522,13091,864,7864.22,273390.72
2025-05-21,直播投放,暑期促销,71177,5010,703,2828.29,227591.04
2025-05-22,联盟推广,春季上新,104112,5163,392,2392.28,117713.73
2025-05-23,信息流,春季上新,211871,11840,1531,12645.48,341402.39
2025-05-24,直播投放,年中大促,18776,438,87,7010.74,13435.79
2025-05-25,搜索广告,暑期促销,109809,6310,219,12279.69,29037.61
2025-05-26,搜索广告,春季上新,48105,2966,315,12941.46,146501.72
2025-05-27,信息流,暑期促销,207591,10582,2037,9612.03,1018592.82
2025-05-28,联盟推广,会员日,63883,1553,235,15075.84,90136.58
2025-05-29,短视频,春季上新,173649,8602,394,12771.69,202023.37
2025-05-30,短视频,新品首发,167299,10917,2076,7604.53,374795.74
2025-05-31,短视频,年中大促,102287,3338,465,1545.35,188872.36
2025-06-01,直播投放,会员日,150830,9502,162,2663.19,36192.15
2025-06-02,直播投放,春季上新,81484,5346,369,3160.1,176000.49
2025-06-03,联盟推广,年中大促,74885,3585,591,4685.27,275437.9
2025-06-04,信息流,暑期促销,184215,7496,1106,13406.23,320921.58
2025-06-05,联盟推广,年中大促,83798,5038,833,904.6,111180.66
2025-06-06,信息流,年中大促,103022,7627,754,17478.59,127686.23
2025-06-07,联盟推广,暑期促销,126406,6630,868,13979.36,115028.12
2025-06-08,搜索广告,年中大促,16870,449,43,17257.62,16614.79
2025-06-09,短视频,春季上新,220738,10924,1466,8313.63,221735.99
2025-06-10,联盟推广,暑期促销,252797,15382,2870,13192.39,458855.17
2025-06-11,直播投放,年中大促,40298,2423,309,15834.27,96718.63
2025-06-12,直播投放,年中大促,17127,937,99,5223.2,24159.45
2025-06-13,联盟推广,春季上新,243577,10547,1435,15975.26,597031.17
2025-06-14,搜索广告,春季上新,16986,252,15,6558.55,6628.3
2025-06-15,短视频,会员日,259555,14459,1930,3829.1,724060.56
2025-06-16,联盟推广,暑期促销,134246,6661,903,16116.46,342298.95
2025-06-17,信息流,暑期促销,88534,6594,1042,6476.28,426941.53
2025-06-18,搜索广告,春季上新,107395,4202,642,14903.37,309044.61
2025-06-19,联盟推广,春季上新,91376,2871,144,10052.89,65749.27
2025-06-20,搜索广告,新品首发,212233,5676,945,15454.44,301820.6
2025-06-21,短视频,新品首发,51368,3328,149,12354.49,51478.61
2025-06-22,短视频,年中大促,28808,2181,399,3279.81,85051.99
2025-06-23,短视频,暑期促销,121309,8539,1120,7175.02,567105.63
2025-06-24,信息流,会员日,222979,4336,98,9193.92,17645.17
2025-06-25,信息流,会员日,142606,5938,1186,16834.06,289521.23
2025-06-26,直播投放,暑期促销,193266,13002,1775,14567.95,350153.06
2025-06-27,信息流,年中大促,56884,2634,269,4112.94,80386.14
2025-06-28,信息流,新品首发,207453,11190,686,2300.39,85869.41
2025-06-29,短视频,年中大促,265047,20437,3121,13555.02,960759.38
2025-06-30,搜索广告,年中大促,54138,2878,295,3900.22,64467.63
2025-07-01,短视频,春季上新,174139,8001,1513,2275.89,335883.07
2025-07-02,直播投放,新品首发,36806,1238,106,4872.23,30755.79
2025-07-03,信息流,暑期促销,173635,5024,232,16565.57,73427.9
2025-07-04,短视频,年中大促,182266,10340,1852,3281.16,633406.49
2025-07-05,搜索广告,年中大促,88947,5801,411,9124.93,71545.98
2025-07-06,搜索广告,暑期促销,264685,12556,1477,10144.46,418398.04
2025-07-07,直播投放,会员日,114217,9123,1640,7868.2,792528.35
2025-07-08,信息流,会员日,160870,7803,791,14403.81,226529.25
2025-07-09,信息流,会员日,238779,7333,1260,3990.77,198339.61
2025-07-10,短视频,会员日,137238,4679,671,10602.73,183560.92
2025-07-11,搜索广告,暑期促销,16870,391,11,11554.33,5458.91
2025-07-12,搜索广告,新品首发,168770,3886,248,8089.92,49885.16
2025-07-13,短视频,年中大促,147861,6056,607,1861.74,168746.95
2025-07-14,搜索广告,春季上新,132889,3400,175,1031.45,63510.4
2025-07-15,联盟推广,新品首发,274209,15793,2481,9133.25,973781.66
2025-07-16,直播投放,暑期促销,256523,16928,2508,7715.23,1051168.45
2025-07-17,搜索广告,暑期促销,48175,2567,229,13166.69,30249.17
2025-07-18,搜索广告,会员日,148862,12060,1396,6246.73,220728.34
2025-07-19,短视频,暑期促销,120206,4283,597,4581.91,220666.08
