客户编号,注册渠道,会员等级,首次购买日期,订单次数,累计消费,最近购买日期,平均客单价,客户状态
CUS-0001,朋友推荐,黑金会员,2024-08-25,6,860.0,2025-04-04,143.33,活跃
CUS-0002,短视频,金卡会员,2024-09-05,13,5624.2,2025-01-29,432.63,沉睡
CUS-0003,线下门店,普通会员,2024-05-13,6,1736.64,2025-02-28,289.44,活跃
CUS-0004,自然搜索,普通会员,2024-02-13,2,84.15,2024-06-09,42.08,待召回
CUS-0005,自然搜索,普通会员,2024-01-23,3,539.91,2025-03-01,179.97,待召回
CUS-0006,短视频,普通会员,2024-06-24,11,5943.38,2024-10-15,540.31,活跃
CUS-0007,线下门店,普通会员,2024-10-23,9,2482.94,2025-03-01,275.88,沉睡
CUS-0008,线下门店,黑金会员,2024-03-23,2,92.98,2025-05-10,46.49,活跃
CUS-0009,线下门店,金卡会员,2024-09-04,14,6598.34,2024-10-08,471.31,活跃
CUS-0010,短视频,金卡会员,2024-03-26,4,611.97,2024-09-07,152.99,沉睡
CUS-0011,短视频,金卡会员,2024-02-28,9,2591.66,2024-06-07,287.96,活跃
CUS-0012,朋友推荐,黑金会员,2024-10-11,12,2166.6,2025-05-14,180.55,沉睡
CUS-0013,短视频,普通会员,2024-02-18,18,6987.22,2024-04-02,388.18,沉睡
CUS-0014,自然搜索,银卡会员,2024-10-26,16,5892.59,2025-05-17,368.29,活跃
CUS-0015,短视频,黑金会员,2024-02-01,18,3907.69,2025-01-04,217.09,活跃
CUS-0016,朋友推荐,金卡会员,2024-11-09,5,1103.41,2025-01-14,220.68,待召回
CUS-0017,短视频,金卡会员,2024-01-06,15,8336.67,2024-12-11,555.78,活跃
CUS-0018,自然搜索,银卡会员,2024-07-07,2,382.29,2025-06-03,191.15,沉睡
CUS-0019,线下门店,黑金会员,2024-10-15,5,1295.96,2024-12-15,259.19,活跃
CUS-0020,线下门店,金卡会员,2024-01-28,6,1799.72,2024-06-26,299.95,待召回
CUS-0021,朋友推荐,黑金会员,2024-04-03,2,1192.78,2025-01-01,596.39,沉睡
CUS-0022,短视频,金卡会员,2024-09-15,18,9530.18,2025-06-18,529.45,待召回
