运单编号,发货日期,地区,物流公司,配送方式,承诺天数,实际运输天数,运费,包裹状态
WAY-00001,2025-06-20,华东,远航物流,次日达,3,3,17.33,准时
WAY-00002,2025-06-24,华北,安速快运,标准配送,1,3,28.33,超时
WAY-00003,2025-06-30,华东,安速快运,标准配送,1,1,13.0,准时
WAY-00004,2025-06-10,华东,顺达物流,经济配送,2,4,24.18,超时
WAY-00005,2025-06-26,华北,安速快运,经济配送,5,5,33.4,准时
WAY-00006,2025-06-23,华北,安速快运,次日达,2,2,19.51,准时
WAY-00007,2025-06-07,华中,城市配送,次日达,3,3,17.56,准时
WAY-00008,2025-06-12,华中,远航物流,次日达,5,5,28.33,准时
WAY-00009,2025-06-01,华南,远航物流,标准配送,2,4,10.13,超时
WAY-00010,2025-06-16,华北,安速快运,经济配送,1,3,30.38,超时
WAY-00011,2025-06-15,华北,安速快运,标准配送,1,1,37.05,准时
WAY-00012,2025-06-06,华中,城市配送,次日达,1,1,38.77,准时
WAY-00013,2025-06-12,西南,顺达物流,标准配送,2,1,14.07,准时
WAY-00014,2025-06-15,华中,顺达物流,经济配送,2,2,13.78,准时
WAY-00015,2025-06-21,华东,城市配送,次日达,5,5,11.35,准时
WAY-00016,2025-06-08,西南,远航物流,经济配送,3,3,38.24,准时
WAY-00017,2025-06-18,华中,远航物流,次日达,3,5,22.53,超时
WAY-00018,2025-06-05,华北,远航物流,标准配送,5,5,7.14,准时
WAY-00019,2025-06-23,华北,城市配送,次日达,5,4,22.67,准时
WAY-00020,2025-06-25,华北,安速快运,经济配送,2,2,37.67,准时
WAY-00021,2025-06-14,华北,安速快运,经济配送,5,5,36.29,准时
WAY-00022,2025-06-12,华东,城市配送,次日达,1,2,16.82,超时
WAY-00023,2025-06-28,华东,远航物流,标准配送,5,5,14.93,准时
WAY-00024,2025-06-07,华中,远航物流,经济配送,3,3,8.08,准时
WAY-00025,2025-06-22,西南,城市配送,标准配送,1,1,17.74,准时
WAY-00026,2025-06-08,华北,城市配送,经济配送,2,2,20.4,准时
WAY-00027,2025-06-30,华南,安速快运,经济配送,1,1,30.03,准时
WAY-00028,2025-06-29,华中,顺达物流,标准配送,2,3,11.26,超时
WAY-00029,2025-06-09,华南,顺达物流,次日达,2,3,25.49,超时
WAY-00030,2025-06-28,西南,安速快运,次日达,3,5,42.08,超时
WAY-00031,2025-06-01,华中,远航物流,经济配送,1,3,42.81,超时
WAY-00032,2025-06-23,西南,城市配送,经济配送,3,3,10.43,准时
WAY-00033,2025-06-10,华中,顺达物流,次日达,5,6,24.98,超时
WAY-00034,2025-06-29,西南,安速快运,标准配送,2,4,37.38,超时
WAY-00035,2025-06-07,华北,安速快运,标准配送,3,2,20.93,准时
WAY-00036,2025-06-06,华东,城市配送,经济配送,3,2,38.98,准时
WAY-00037,2025-06-22,华南,城市配送,经济配送,5,5,24.83,准时
WAY-00038,2025-06-26,西南,安速快运,经济配送,3,3,18.52,准时
WAY-00039,2025-06-19,华南,远航物流,标准配送,1,1,33.0,准时
WAY-00040,2025-06-11,华东,城市配送,经济配送,5,5,36.43,准时
WAY-00041,2025-06-24,华中,远航物流,次日达,1,1,24.71,准时
WAY-00042,2025-06-09,华南,城市配送,次日达,3,2,36.32,准时
WAY-00043,2025-06-23,西南,顺达物流,经济配送,5,5,15.82,准时
WAY-00044,2025-06-19,华中,安速快运,经济配送,2,2,11.57,准时
WAY-00045,2025-06-25,华中,城市配送,次日达,5,4,42.27,准时
WAY-00046,2025-06-20,华中,顺达物流,次日达,1,1,23.27,准时
WAY-00047,2025-06-30,华北,远航物流,经济配送,3,4,39.12,超时
WAY-00048,2025-06-26,华东,城市配送,标准配送,3,5,8.63,超时
WAY-00049,2025-06-05,华中,远航物流,次日达,3,2,12.8,准时
WAY-00050,2025-06-05,华南,城市配送,标准配送,1,3,38.07,超时
WAY-00051,2025-06-26,华东,远航物流,标准配送,5,5,25.74,准时
WAY-00052,2025-06-17,华东,远航物流,次日达,1,3,13.68,超时
WAY-00053,2025-06-06,华中,顺达物流,次日达,5,5,36.33,准时
WAY-00054,2025-06-27,西南,远航物流,标准配送,3,5,7.31,超时
WAY-00055,2025-06-30,华南,远航物流,标准配送,2,1,15.21,准时
WAY-00056,2025-06-05,华北,安速快运,次日达,3,3,22.28,准时
WAY-00057,2025-06-27,华南,城市配送,次日达,5,6,29.57,超时
WAY-00058,2025-06-15,华中,顺达物流,次日达,2,3,29.29,超时
WAY-00059,2025-06-18,华北,安速快运,经济配送,5,6,13.53,超时
WAY-00060,2025-06-18,华东,顺达物流,次日达,3,5,39.62,超时
WAY-00061,2025-06-29,华东,城市配送,标准配送,1,3,32.54,超时
WAY-00062,2025-06-30,华东,安速快运,次日达,3,3,43.39,准时
WAY-00063,2025-06-20,华东,城市配送,次日达,1,1,17.77,准时
WAY-00064,2025-06-10,华中,顺达物流,经济配送,1,1,9.11,准时
WAY-00065,2025-06-19,华中,城市配送,经济配送,5,7,44.93,超时
WAY-00066,2025-06-27,华中,城市配送,次日达,3,3,7.72,准时
WAY-00067,2025-06-24,华东,远航物流,经济配送,5,6,38.02,超时
WAY-00068,2025-06-07,华南,安速快运,次日达,1,1,24.18,准时
WAY-00069,2025-06-02,华东,远航物流,次日达,1,1,24.19,准时
WAY-00070,2025-06-19,华北,安速快运,次日达,5,7,34.74,超时
WAY-00071,2025-06-28,西南,顺达物流,标准配送,3,5,6.3,超时
WAY-00072,2025-06-05,华南,顺达物流,经济配送,3,2,32.61,准时
WAY-00073,2025-06-16,华南,城市配送,次日达,1,3,8.36,超时
WAY-00074,2025-06-16,华中,顺达物流,经济配送,5,5,24.97,准时
WAY-00075,2025-06-18,华北,城市配送,标准配送,1,1,29.36,准时
WAY-00076,2025-06-14,西南,城市配送,次日达,5,6,35.06,超时
WAY-00077,2025-06-29,西南,城市配送,标准配送,2,2,17.02,准时
WAY-00078,2025-06-18,华南,顺达物流,次日达,2,4,35.93,超时
WAY-00079,2025-06-11,西南,顺达物流,次日达,1,1,28.15,准时
WAY-00080,2025-06-06,西南,安速快运,经济配送,3,3,15.25,准时
WAY-00081,2025-06-23,西南,安速快运,经济配送,5,7,38.77,超时
WAY-00082,2025-06-02,华东,顺达物流,标准配送,5,7,16.38,超时
WAY-00083,2025-06-10,华东,城市配送,标准配送,5,5,40.15,准时
WAY-00084,2025-06-06,华中,顺达物流,标准配送,3,2,6.14,准时
WAY-00085,2025-06-24,华东,顺达物流,次日达,2,1,12.6,准时
WAY-00086,2025-06-04,华南,远航物流,经济配送,5,5,26.9,准时
WAY-00087,2025-06-05,华北,顺达物流,标准配送,1,1,22.59,准时
WAY-00088,2025-06-29,华东,顺达物流,次日达,3,2,36.5,准时
WAY-00089,2025-06-17,西南,顺达物流,标准配送,3,3,24.03,准时
WAY-00090,2025-06-24,西南,远航物流,标准配送,2,1,42.91,准时
WAY-00091,2025-06-13,华北,安速快运,次日达,5,7,41.54,超时
WAY-00092,2025-06-16,西南,远航物流,经济配送,1,2,16.11,超时
WAY-00093,2025-06-28,华东,顺达物流,次日达,2,2,17.22,准时
WAY-00094,2025-06-15,华北,顺达物流,标准配送,3,3,8.53,准时
WAY-00095,2025-06-17,华中,远航物流,次日达,1,1,33.34,准时
WAY-00096,2025-06-19,华中,城市配送,经济配送,3,4,13.79,超时
WAY-00097,2025-06-16,华东,远航物流,经济配送,5,6,18.01,超时
WAY-00098,2025-06-21,西南,安速快运,经济配送,3,3,7.24,准时
WAY-00099,2025-06-28,西南,远航物流,次日达,5,7,38.97,超时
WAY-00100,2025-06-08,华北,顺达物流,次日达,5,6,26.84,超时
WAY-00101,2025-06-10,西南,城市配送,标准配送,1,1,7.59,准时
WAY-00102,2025-06-15,西南,远航物流,标准配送,3,4,35.77,超时
WAY-00103,2025-06-30,华南,远航物流,次日达,3,2,22.91,准时
WAY-00104,2025-06-22,华中,顺达物流,经济配送,1,3,17.2,超时
WAY-00105,2025-06-24,华北,安速快运,次日达,2,2,23.55,准时
WAY-00106,2025-06-15,华东,远航物流,标准配送,5,4,26.8,准时
WAY-00107,2025-06-30,华北,顺达物流,次日达,5,6,37.39,超时
WAY-00108,2025-06-12,西南,远航物流,标准配送,1,1,12.63,准时
WAY-00109,2025-06-17,西南,远航物流,经济配送,5,5,42.06,准时
WAY-00110,2025-06-16,华北,顺达物流,经济配送,3,5,26.98,超时
WAY-00111,2025-06-15,西南,远航物流,经济配送,1,3,31.29,超时
WAY-00112,2025-06-05,华北,顺达物流,标准配送,1,3,43.81,超时
WAY-00113,2025-06-21,华南,顺达物流,次日达,5,4,35.91,准时
WAY-00114,2025-06-30,华北,顺达物流,经济配送,2,2,19.12,准时
WAY-00115,2025-06-26,华东,顺达物流,次日达,5,5,44.09,准时
WAY-00116,2025-06-27,华东,城市配送,标准配送,2,3,21.14,超时
WAY-00117,2025-06-03,华北,安速快运,经济配送,2,2,28.8,准时
WAY-00118,2025-06-01,华东,安速快运,次日达,3,5,17.31,超时
WAY-00119,2025-06-14,华北,安速快运,次日达,3,4,9.82,超时
WAY-00120,2025-06-11,华南,顺达物流,次日达,1,1,18.76,准时
