员工编号,部门,日期,出勤状态,迟到分钟,加班小时,请假类型
EMP-0001,销售部,2025-06-17,请假,0,0.0,事假
EMP-0002,产品部,2025-06-25,正常,0,4.1,无
EMP-0003,销售部,2025-06-11,正常,0,1.4,无
EMP-0004,财务部,2025-06-23,正常,0,2.0,无
EMP-0005,财务部,2025-06-08,正常,0,3.5,无
EMP-0006,运营部,2025-06-22,请假,0,0.0,事假
EMP-0007,财务部,2025-06-15,正常,0,1.3,无
EMP-0008,产品部,2025-06-17,正常,0,4.4,无
EMP-0009,财务部,2025-06-18,正常,0,3.3,无
EMP-0010,销售部,2025-06-05,正常,0,0.6,无
EMP-0011,财务部,2025-06-15,正常,0,1.1,无
EMP-0012,销售部,2025-06-03,正常,0,2.0,无
EMP-0013,销售部,2025-06-29,出差,0,2.4,无
EMP-0014,产品部,2025-06-09,正常,0,0.3,无
EMP-0015,研发部,2025-06-16,正常,0,3.6,无
EMP-0016,销售部,2025-06-03,正常,0,0.1,无
EMP-0017,研发部,2025-06-30,正常,0,3.1,无
EMP-0018,运营部,2025-06-05,正常,0,0.0,无
EMP-0019,销售部,2025-06-14,请假,0,0.0,事假
EMP-0020,运营部,2025-06-30,请假,0,0.0,病假
EMP-0021,财务部,2025-06-07,正常,0,4.3,无
EMP-0022,销售部,2025-06-11,正常,0,3.2,无
EMP-0023,财务部,2025-06-15,正常,0,1.4,无
EMP-0024,财务部,2025-06-07,迟到,37,0.0,无
EMP-0025,研发部,2025-06-09,正常,0,2.5,无
EMP-0026,研发部,2025-06-15,请假,0,0.0,事假
EMP-0027,销售部,2025-06-04,正常,0,3.6,无
EMP-0028,研发部,2025-06-27,迟到,43,0.0,无
EMP-0029,运营部,2025-06-14,正常,0,1.3,无
EMP-0030,财务部,2025-06-07,正常,0,2.5,无
EMP-0031,研发部,2025-06-07,正常,0,4.5,无
EMP-0032,销售部,2025-06-10,正常,0,1.7,无
EMP-0033,产品部,2025-06-22,正常,0,1.9,无
EMP-0034,销售部,2025-06-05,正常,0,3.2,无
EMP-0035,产品部,2025-06-17,正常,0,4.3,无
EMP-0036,财务部,2025-06-05,正常,0,1.1,无
EMP-0037,产品部,2025-06-28,正常,0,0.9,无
EMP-0038,运营部,2025-06-01,正常,0,0.6,无
EMP-0039,研发部,2025-06-07,出差,0,2.9,无
EMP-0040,研发部,2025-06-14,正常,0,3.7,无
EMP-0041,运营部,2025-06-04,正常,0,3.7,无
EMP-0042,产品部,2025-06-12,正常,0,1.0,无
EMP-0043,研发部,2025-06-19,正常,0,1.3,无
EMP-0044,财务部,2025-06-11,正常,0,2.9,无
EMP-0045,财务部,2025-06-23,正常,0,1.0,无
EMP-0046,销售部,2025-06-20,正常,0,3.2,无
EMP-0047,销售部,2025-06-26,正常,0,0.2,无
EMP-0048,销售部,2025-06-30,正常,0,4.0,无
EMP-0049,运营部,2025-06-16,正常,0,2.5,无
EMP-0050,财务部,2025-06-18,正常,0,0.3,无
EMP-0051,研发部,2025-06-19,正常,0,3.2,无
EMP-0052,销售部,2025-06-22,请假,0,0.0,无
EMP-0053,研发部,2025-06-24,正常,0,3.2,无
EMP-0054,运营部,2025-06-23,正常,0,4.3,无
