学员编号,课程,班级,学习时长,作业得分,考试得分,完成率,是否通过
STU-0001,SQL 数据分析,第1期,31.5,85.2,91.3,85.8,是
STU-0002,Python 入门,第2期,11.1,99.2,68.8,27.6,否
STU-0003,办公效率,第3期,25.3,97.9,99.5,76.0,是
STU-0004,项目管理,第1期,6.8,70.1,51.1,13.0,否
STU-0005,SQL 数据分析,第2期,27.1,79.5,98.6,71.8,是
STU-0006,Python 入门,第5期,23.8,86.3,95.6,69.3,是
STU-0007,项目管理,第6期,14.7,84.2,94.0,47.8,否
STU-0008,沟通表达,第6期,23.6,93.4,92.6,68.3,是
STU-0009,项目管理,第3期,27.8,63.1,92.5,82.4,是
STU-0010,Python 入门,第1期,10.0,74.3,67.1,20.6,否
STU-0011,办公效率,第3期,21.4,93.8,86.8,53.3,否
STU-0012,Python 入门,第5期,25.3,59.7,85.3,67.1,是
STU-0013,办公效率,第2期,12.1,75.4,60.8,33.9,否
STU-0014,Python 入门,第1期,19.3,91.0,86.1,60.1,是
STU-0015,项目管理,第3期,29.9,73.5,86.5,77.4,是
STU-0016,办公效率,第6期,21.1,66.9,90.6,59.7,否
STU-0017,SQL 数据分析,第2期,33.2,72.4,100.0,95.7,是
STU-0018,办公效率,第5期,10.5,68.7,72.7,22.3,否
STU-0019,Python 入门,第3期,6.1,94.5,59.1,22.6,否
STU-0020,沟通表达,第5期,22.9,69.2,75.2,69.3,是
STU-0021,Python 入门,第3期,12.3,70.7,80.7,34.3,否
STU-0022,沟通表达,第4期,13.7,97.8,69.4,41.3,否
STU-0023,SQL 数据分析,第2期,10.1,80.8,61.0,28.3,否
STU-0024,SQL 数据分析,第2期,7.2,94.8,76.9,13.0,否
STU-0025,办公效率,第6期,30.3,90.6,100.0,82.0,是
STU-0026,沟通表达,第1期,17.2,91.2,96.9,48.7,否
STU-0027,项目管理,第5期,15.9,56.1,58.9,51.4,否
STU-0028,办公效率,第3期,28.4,84.0,97.1,84.1,是
STU-0029,办公效率,第2期,34.5,88.1,100.0,98.8,是
STU-0030,项目管理,第6期,10.7,79.0,85.1,27.2,否
STU-0031,沟通表达,第4期,10.2,77.5,75.5,26.1,否
STU-0032,Python 入门,第3期,26.6,83.3,93.9,74.4,是
STU-0033,办公效率,第2期,8.5,69.8,65.3,18.8,否
STU-0034,SQL 数据分析,第2期,18.3,89.8,83.7,53.7,否
STU-0035,SQL 数据分析,第4期,29.4,60.2,86.1,88.7,是
STU-0036,SQL 数据分析,第6期,28.2,68.8,100.0,84.4,是
STU-0037,项目管理,第4期,4.0,62.9,71.4,3.5,否
STU-0038,SQL 数据分析,第4期,24.4,59.6,89.8,63.3,是
STU-0039,SQL 数据分析,第1期,34.6,84.2,100.0,93.1,是
STU-0040,办公效率,第5期,30.9,92.1,100.0,78.0,是
STU-0041,SQL 数据分析,第2期,27.6,64.8,89.7,82.7,是
STU-0042,项目管理,第1期,4.5,71.5,63.6,11.1,否
STU-0043,办公效率,第3期,4.6,95.2,75.4,9.6,否
STU-0044,沟通表达,第3期,17.0,71.5,68.2,45.5,否
STU-0045,项目管理,第2期,29.7,55.1,89.8,79.8,是
STU-0046,项目管理,第5期,30.5,91.2,100.0,77.0,是
STU-0047,Python 入门,第1期,19.7,55.6,86.8,51.0,否
STU-0048,项目管理,第2期,35.8,69.5,94.6,92.1,是
