日期,账户,收支类型,一级分类,支付方式,金额,是否固定,备注
2025-01-01,家庭账户,支出,交通,支付宝,485.17,否,日常记录
2025-01-04,家庭账户,支出,餐饮,现金,1510.95,否,日常记录
2025-01-07,个人账户,支出,医疗,微信,493.85,否,日常记录
2025-01-10,储蓄账户,收入,工资,微信,3974.33,是,固定项目
2025-01-13,家庭账户,支出,购物,微信,120.32,否,日常记录
2025-01-16,个人账户,支出,娱乐,现金,2195.17,否,日常记录
2025-01-19,家庭账户,收入,工资,微信,8832.64,是,固定项目
2025-01-22,家庭账户,收入,工资,支付宝,11045.91,是,固定项目
2025-01-25,个人账户,支出,购物,现金,1399.84,否,日常记录
2025-01-28,储蓄账户,支出,住房,支付宝,964.01,是,固定项目
2025-01-31,个人账户,收入,工资,微信,4277.63,是,固定项目
2025-02-03,家庭账户,支出,购物,现金,994.54,否,日常记录
2025-02-06,个人账户,支出,交通,微信,2025.5,否,日常记录
2025-02-09,家庭账户,支出,医疗,现金,1740.11,否,日常记录
2025-02-12,家庭账户,支出,医疗,银行卡,546.4,否,日常记录
2025-02-15,家庭账户,支出,娱乐,微信,2137.45,否,日常记录
2025-02-18,个人账户,支出,购物,微信,1442.86,否,日常记录
2025-02-21,个人账户,支出,住房,微信,790.47,是,固定项目
2025-02-24,储蓄账户,支出,住房,银行卡,43.89,是,固定项目
2025-02-27,家庭账户,支出,医疗,微信,103.72,否,日常记录
2025-03-02,储蓄账户,支出,餐饮,微信,120.05,否,日常记录
2025-03-05,家庭账户,支出,餐饮,微信,1019.66,否,日常记录
2025-03-08,家庭账户,支出,购物,现金,658.28,否,日常记录
2025-03-11,个人账户,支出,娱乐,微信,1657.7,否,日常记录
2025-03-14,个人账户,支出,购物,支付宝,2014.34,否,日常记录
2025-03-17,储蓄账户,支出,交通,支付宝,2088.69,否,日常记录
2025-03-20,家庭账户,支出,交通,微信,2197.2,否,日常记录
2025-03-23,储蓄账户,支出,餐饮,微信,312.36,否,日常记录
2025-03-26,家庭账户,支出,购物,微信,1055.98,否,日常记录
2025-03-29,储蓄账户,支出,购物,银行卡,2046.84,否,日常记录
2025-04-01,个人账户,收入,奖金,银行卡,7038.92,否,日常记录
2025-04-04,个人账户,支出,交通,银行卡,1846.58,否,日常记录
2025-04-07,个人账户,支出,餐饮,现金,1803.22,否,日常记录
2025-04-10,储蓄账户,支出,餐饮,银行卡,136.43,否,日常记录
2025-04-13,个人账户,支出,娱乐,银行卡,1524.47,否,日常记录
2025-04-16,家庭账户,支出,交通,支付宝,257.6,否,日常记录
2025-04-19,个人账户,支出,购物,支付宝,1990.56,否,日常记录
2025-04-22,家庭账户,支出,餐饮,银行卡,2175.74,否,日常记录
2025-04-25,个人账户,支出,住房,现金,568.54,是,固定项目
2025-04-28,家庭账户,支出,娱乐,微信,1524.82,否,日常记录
2025-05-01,储蓄账户,收入,奖金,微信,6802.29,否,日常记录
2025-05-04,个人账户,支出,交通,现金,1037.93,否,日常记录
2025-05-07,家庭账户,支出,餐饮,微信,191.29,否,日常记录
2025-05-10,家庭账户,收入,奖金,支付宝,7174.16,否,日常记录
2025-05-13,家庭账户,收入,工资,银行卡,11386.59,是,固定项目
2025-05-16,个人账户,支出,医疗,支付宝,662.81,否,日常记录
2025-05-19,储蓄账户,收入,工资,支付宝,10481.02,是,固定项目
