日期,来源渠道,设备,页面,访问次数,访客数,跳出率,平均停留秒数,转化数
2025-07-01,自然搜索,手机,购物车,6022,5973,0.334,398,370
2025-07-02,自然搜索,手机,首页,7367,5869,0.434,410,183
2025-07-03,公众号,平板,商品列表,4084,3422,0.601,106,53
2025-07-04,直接访问,电脑,商品详情,408,331,0.516,22,27
2025-07-05,直接访问,平板,购物车,5673,4120,0.589,35,249
2025-07-06,自然搜索,电脑,商品列表,253,177,0.688,173,15
2025-07-07,公众号,平板,购物车,1096,754,0.81,319,66
2025-07-08,短视频,平板,购物车,759,566,0.654,235,2
2025-07-09,公众号,手机,商品详情,4900,3978,0.31,191,94
2025-07-10,短视频,平板,首页,1023,787,0.384,248,67
2025-07-11,短视频,电脑,商品详情,5393,4515,0.67,47,85
2025-07-12,自然搜索,平板,商品列表,8305,6492,0.202,305,474
2025-07-13,公众号,平板,购物车,3796,2601,0.764,412,244
2025-07-14,广告投放,手机,活动页,4511,4376,0.284,307,172
2025-07-15,公众号,平板,首页,1544,1417,0.193,68,10
2025-07-16,公众号,电脑,活动页,3666,2437,0.48,378,127
2025-07-17,自然搜索,电脑,首页,3430,3076,0.432,417,238
2025-07-18,自然搜索,电脑,购物车,5389,5118,0.342,191,437
2025-07-19,公众号,电脑,活动页,6136,4170,0.636,109,146
2025-07-20,短视频,手机,商品详情,4370,4307,0.192,297,138
2025-07-21,短视频,电脑,商品列表,3861,3417,0.274,273,288
2025-07-22,公众号,平板,活动页,2337,1933,0.2,295,68
2025-07-23,广告投放,电脑,购物车,2101,1676,0.638,220,52
2025-07-24,公众号,电脑,商品详情,4749,4377,0.539,178,157
2025-07-25,自然搜索,手机,商品列表,753,665,0.334,248,41
2025-07-26,广告投放,手机,购物车,4707,3610,0.819,347,186
2025-07-27,公众号,平板,商品详情,8111,5466,0.396,400,388
2025-07-28,直接访问,平板,商品详情,2257,1914,0.674,256,57
2025-07-29,广告投放,手机,首页,5627,5430,0.442,142,54
2025-07-30,短视频,平板,首页,4786,4240,0.495,331,280
2025-07-01,短视频,平板,活动页,7227,6071,0.802,122,147
2025-07-02,直接访问,手机,商品列表,4725,4262,0.376,196,426
2025-07-03,自然搜索,手机,商品详情,5804,4046,0.504,325,195
2025-07-04,公众号,电脑,商品详情,3493,3011,0.593,410,260
2025-07-05,广告投放,电脑,商品列表,2047,1427,0.513,290,96
2025-07-06,广告投放,电脑,商品详情,3778,2766,0.467,305,248
2025-07-07,自然搜索,手机,首页,4588,4357,0.57,65,211
2025-07-08,自然搜索,电脑,首页,6385,5288,0.605,283,338
2025-07-09,自然搜索,电脑,商品详情,3484,3264,0.378,409,52
2025-07-10,短视频,电脑,商品列表,2229,2018,0.299,151,4
2025-07-11,自然搜索,平板,活动页,2866,2310,0.211,410,124
2025-07-12,自然搜索,手机,首页,4660,4135,0.435,145,223
2025-07-13,自然搜索,电脑,购物车,7219,5492,0.292,334,377
2025-07-14,广告投放,平板,商品详情,8763,6600,0.475,283,408
2025-07-15,自然搜索,平板,商品详情,2987,2394,0.518,287,8
2025-07-16,自然搜索,电脑,首页,2778,2203,0.546,294,181
2025-07-17,公众号,平板,购物车,1165,970,0.23,358,51
2025-07-18,公众号,电脑,商品列表,4866,4092,0.431,241,162
2025-07-19,自然搜索,手机,商品详情,3762,3540,0.621,31,88
2025-07-20,自然搜索,手机,商品详情,2536,2338,0.618,315,134
2025-07-21,直接访问,平板,购物车,2463,2170,0.41,255,191
2025-07-22,自然搜索,电脑,首页,6083,4231,0.361,411,115
2025-07-23,公众号,平板,商品列表,2607,1848,0.389,373,129
2025-07-24,短视频,电脑,活动页,1671,1269,0.487,372,56
2025-07-25,直接访问,电脑,商品列表,7009,6484,0.706,73,572
2025-07-26,广告投放,手机,商品详情,6028,4370,0.428,147,163
2025-07-27,公众号,手机,购物车,3262,2188,0.359,65,43
2025-07-28,公众号,平板,活动页,8580,6357,0.447,60,6
2025-07-29,短视频,平板,活动页,3932,3051,0.238,292,21
2025-07-30,广告投放,平板,购物车,7614,5088,0.314,59,503
2025-07-01,短视频,电脑,商品详情,2157,1829,0.607,248,34
2025-07-02,短视频,电脑,商品列表,5201,4798,0.684,415,178
2025-07-03,短视频,平板,首页,6523,6294,0.595,135,560
2025-07-04,直接访问,电脑,活动页,6737,4587,0.756,201,37
2025-07-05,公众号,手机,首页,8050,6634,0.46,106,88
2025-07-06,直接访问,平板,商品列表,6498,5133,0.8,196,367
2025-07-07,短视频,手机,购物车,301,208,0.696,180,18
2025-07-08,自然搜索,手机,购物车,5616,5179,0.782,374,405
2025-07-09,短视频,平板,活动页,6546,4689,0.806,119,84
2025-07-10,公众号,平板,商品列表,6295,4659,0.766,261,350
2025-07-11,公众号,手机,商品详情,5214,3935,0.751,39,204
2025-07-12,直接访问,电脑,活动页,4618,4133,0.192,152,346
2025-07-13,广告投放,手机,购物车,7916,5658,0.674,284,507
2025-07-14,公众号,手机,商品列表,1398,1322,0.356,387,78
2025-07-15,广告投放,手机,商品详情,518,498,0.188,364,23
2025-07-16,直接访问,平板,首页,7944,6550,0.373,265,507
2025-07-17,自然搜索,电脑,商品列表,3597,2612,0.266,109,6
2025-07-18,自然搜索,手机,购物车,1321,1128,0.595,27,69
2025-07-19,自然搜索,电脑,首页,2156,2132,0.336,323,5
2025-07-20,广告投放,电脑,商品列表,4854,4160,0.731,139,415
2025-07-21,直接访问,平板,活动页,2615,1830,0.772,88,129
2025-07-22,广告投放,手机,活动页,6094,4054,0.399,25,263
2025-07-23,广告投放,手机,活动页,1200,976,0.558,364,76
2025-07-24,直接访问,手机,商品列表,2064,1696,0.529,121,129
2025-07-25,自然搜索,电脑,首页,2636,2101,0.379,55,72
2025-07-26,直接访问,手机,商品列表,6319,5033,0.309,322,64
2025-07-27,自然搜索,平板,商品详情,5464,4737,0.271,325,113
2025-07-28,短视频,电脑,商品列表,5015,4131,0.33,253,226
2025-07-29,广告投放,电脑,商品列表,5584,4891,0.466,38,142
2025-07-30,短视频,电脑,首页,7401,6326,0.531,293,470
2025-07-01,公众号,电脑,商品列表,332,255,0.491,296,15
2025-07-02,自然搜索,平板,商品列表,5724,5138,0.399,78,229
2025-07-03,自然搜索,手机,活动页,2914,1967,0.221,221,190
2025-07-04,自然搜索,手机,商品列表,5128,4064,0.619,204,122
2025-07-05,直接访问,电脑,活动页,4285,3226,0.348,383,118
2025-07-06,公众号,平板,活动页,2717,2581,0.471,133,216
2025-07-07,自然搜索,平板,商品列表,1761,1185,0.266,61,45
2025-07-08,自然搜索,电脑,商品详情,3275,2654,0.245,249,199
2025-07-09,广告投放,电脑,活动页,680,489,0.225,70,17
2025-07-10,短视频,手机,购物车,4128,3898,0.446,398,124
2025-07-11,自然搜索,平板,商品详情,4569,3383,0.52,136,56
2025-07-12,公众号,平板,首页,5628,4010,0.273,209,395
2025-07-13,直接访问,手机,商品列表,5073,3982,0.728,175,90
2025-07-14,公众号,手机,购物车,3626,3359,0.498,275,238
2025-07-15,广告投放,平板,商品详情,5681,5566,0.812,165,355
2025-07-16,直接访问,手机,活动页,5113,3678,0.807,342,336
2025-07-17,短视频,平板,活动页,548,397,0.424,58,3
2025-07-18,公众号,平板,购物车,2689,1863,0.27,397,120
2025-07-19,自然搜索,平板,商品详情,2325,1963,0.453,354,196
2025-07-20,广告投放,电脑,商品详情,6100,4508,0.467,57,351
2025-07-21,短视频,平板,活动页,1818,1319,0.446,257,33
2025-07-22,广告投放,电脑,商品列表,3618,2875,0.422,360,182
2025-07-23,广告投放,电脑,商品详情,1766,1269,0.661,260,118
2025-07-24,直接访问,手机,商品详情,5333,5148,0.264,376,248
2025-07-25,广告投放,手机,商品详情,2280,1666,0.619,81,112
2025-07-26,短视频,电脑,购物车,8148,5845,0.762,193,431
2025-07-27,短视频,电脑,活动页,4570,3187,0.398,148,14
2025-07-28,短视频,手机,活动页,3727,2764,0.592,144,192
2025-07-29,广告投放,平板,购物车,7250,4877,0.699,123,417
2025-07-30,公众号,手机,活动页,2939,2362,0.625,125,158
2025-07-01,公众号,电脑,购物车,3295,2679,0.558,356,71
2025-07-02,自然搜索,手机,首页,2175,1457,0.315,137,42
2025-07-03,广告投放,平板,首页,6470,4891,0.518,118,233
2025-07-04,直接访问,平板,商品详情,4580,3509,0.655,228,186
2025-07-05,自然搜索,手机,商品列表,524,384,0.586,348,32
2025-07-06,自然搜索,电脑,活动页,941,736,0.763,229,54
2025-07-07,短视频,手机,购物车,6742,6264,0.584,316,54
2025-07-08,公众号,电脑,活动页,4246,2900,0.544,219,47
2025-07-09,直接访问,平板,商品详情,3439,3163,0.277,303,98
2025-07-10,广告投放,手机,商品列表,500,440,0.697,26,44
2025-07-11,短视频,手机,商品详情,7115,4888,0.326,294,375
2025-07-12,直接访问,平板,首页,965,876,0.625,75,35
2025-07-13,公众号,手机,首页,5628,3823,0.416,200,187
2025-07-14,自然搜索,手机,首页,2424,1659,0.665,126,147
2025-07-15,直接访问,手机,活动页,1406,1358,0.507,69,71
2025-07-16,自然搜索,平板,购物车,2482,1670,0.266,210,16
2025-07-17,直接访问,平板,商品列表,371,250,0.421,40,22
2025-07-18,公众号,电脑,商品列表,1595,1481,0.67,198,54
2025-07-19,公众号,电脑,购物车,7112,6274,0.689,289,118
